Year,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
2018,274.10,-0.00599,0.01249,0.00554,0.01008,0.00382,9779911.00,0.00617,1
2018,271.35,0.00617,-0.00599,0.01249,0.00554,0.01008,14204123.00,0.00886,1
2018,269.85,0.00886,0.00617,-0.00599,0.01249,0.00554,6713679.00,0.00322,1
2018,266.50,0.00322,0.00886,0.00617,-0.00599,0.01249,11303222.00,-0.01863,0
2018,268.10,-0.01863,0.00322,0.00886,0.00617,-0.00599,11736246.00,0.00411,1
2018,266.45,0.00411,-0.01863,0.00322,0.00886,0.00617,6164187.00,-0.00727,0
2018,264.10,-0.00727,0.00411,-0.01863,0.00322,0.00886,6069585.00,0.00934,1
2018,263.25,0.00934,-0.00727,0.00411,-0.01863,0.00322,9301017.00,0.00056,1
2018,268.20,0.00056,0.00934,-0.00727,0.00411,-0.01863,10555155.00,0.00508,1
2018,267.10,0.00508,0.00056,0.00934,-0.00727,0.00411,19118686.00,0.00397,1
2018,269.05,0.00397,0.00508,0.00056,0.00934,-0.00727,6529253.00,0.01431,1
2018,266.55,0.01431,0.00397,0.00508,0.00056,0.00934,8378818.00,0.01451,1
2018,266.40,0.01451,0.01431,0.00397,0.00508,0.00056,7429924.00,-0.01317,0
2018,265.05,-0.01317,0.01451,0.01431,0.00397,0.00508,13451146.00,0.00405,1
2018,264.00,0.00405,-0.01317,0.01451,0.01431,0.00397,7781553.00,-0.00154,0
2018,260.25,-0.00154,0.00405,-0.01317,0.01451,0.01431,6623613.00,-0.04100,0
2018,256.50,-0.04100,-0.00154,0.00405,-0.01317,0.01451,8180373.00,0.00241,1
2018,259.90,0.00241,-0.04100,-0.00154,0.00405,-0.01317,15153219.00,0.00521,1
2018,258.85,0.00521,0.00241,-0.04100,-0.00154,0.00405,6027032.00,0.00937,1
2018,259.25,0.00937,0.00521,0.00241,-0.04100,-0.00154,6110339.00,0.01920,1
2018,270.10,0.01920,0.00937,0.00521,0.00241,-0.04100,19900387.00,0.00520,1
2018,269.45,0.00520,0.01920,0.00937,0.00521,0.00241,8326884.00,-0.00019,0
2018,268.05,-0.00019,0.00520,0.01920,0.00937,0.00521,7907101.00,0.00058,1
2018,265.55,0.00058,-0.00019,0.00520,0.01920,0.00937,5557668.00,0.00290,1
2018,260.50,0.00290,0.00058,-0.00019,0.00520,0.01920,20680532.00,0.00894,1
2018,259.15,0.00894,0.00290,0.00058,-0.00019,0.00520,12926158.00,-0.00817,0
2018,259.20,-0.00817,0.00894,0.00290,0.00058,-0.00019,7481088.00,-0.00309,0
2018,259.05,-0.00309,-0.00817,0.00894,0.00290,0.00058,12920867.00,0.01322,1
2018,258.30,0.01322,-0.00309,-0.00817,0.00894,0.00290,8011131.00,-0.01071,0
2018,256.00,-0.01071,0.01322,-0.00309,-0.00817,0.00894,11185677.00,-0.00097,0
2018,258.10,-0.00097,-0.01071,0.01322,-0.00309,-0.00817,12499724.00,-0.00039,0
2018,258.90,-0.00039,-0.00097,-0.01071,0.01322,-0.00309,8769415.00,-0.00405,0
2018,255.50,-0.00405,-0.00039,-0.00097,-0.01071,0.01322,12270479.00,-0.00461,0
2018,258.25,-0.00461,-0.00405,-0.00039,-0.00097,-0.01071,7029064.00,-0.01880,0
2018,258.50,-0.01880,-0.00461,-0.00405,-0.00039,-0.00097,5098212.00,-0.00338,0
2018,258.60,-0.00338,-0.01880,-0.00461,-0.00405,-0.00039,8392947.00,0.00583,1
2018,259.65,0.00583,-0.00338,-0.01880,-0.00461,-0.00405,9113610.00,0.01214,1
2018,260.85,0.01214,0.00583,-0.00338,-0.01880,-0.00461,6098959.00,0.00459,1
2018,265.80,0.00459,0.01214,0.00583,-0.00338,-0.01880,9217475.00,-0.01409,0
2018,266.70,-0.01409,0.00459,0.01214,0.00583,-0.00338,14682547.00,-0.01184,0
2018,265.15,-0.01184,-0.01409,0.00459,0.01214,0.00583,5232228.00,-0.02855,0
2018,261.95,-0.02855,-0.01184,-0.01409,0.00459,0.01214,6125006.00,-0.00724,0
2018,260.75,-0.00724,-0.02855,-0.01184,-0.01409,0.00459,4991314.00,0.00415,1
2018,264.45,0.00415,-0.00724,-0.02855,-0.01184,-0.01409,5212182.00,0.00254,1
2018,267.60,0.00254,0.00415,-0.00724,-0.02855,-0.01184,13207767.00,-0.00181,0
2018,275.35,-0.00181,0.00254,0.00415,-0.00724,-0.02855,23815794.00,0.00691,1
2018,277.35,0.00691,-0.00181,0.00254,0.00415,-0.00724,12823460.00,-0.01503,0
2018,276.20,-0.01503,0.00691,-0.00181,0.00254,0.00415,10790554.00,-0.00412,0
2018,275.50,-0.00412,-0.01503,0.00691,-0.00181,0.00254,11746220.00,-0.00731,0
2018,276.00,-0.00731,-0.00412,-0.01503,0.00691,-0.00181,8449353.00,-0.02040,0
2018,274.10,-0.02040,-0.00731,-0.00412,-0.01503,0.00691,4928817.00,0.00786,1
2018,278.25,0.00786,-0.02040,-0.00731,-0.00412,-0.01503,20282977.00,0.02793,1
2018,279.40,0.02793,0.00786,-0.02040,-0.00731,-0.00412,9732842.00,-0.01823,0
2018,281.45,-0.01823,0.02793,0.00786,-0.02040,-0.00731,5918966.00,-0.00159,0
2018,287.25,-0.00159,-0.01823,0.02793,0.00786,-0.02040,16071685.00,0.00142,1
2018,285.00,0.00142,-0.00159,-0.01823,0.02793,0.00786,9366444.00,0.00765,1
2018,277.15,0.00765,0.00142,-0.00159,-0.01823,0.02793,10904195.00,-0.01242,0
2018,282.25,-0.01242,0.00765,0.00142,-0.00159,-0.01823,6475767.00,-0.00405,0
2018,282.70,-0.00405,-0.01242,0.00765,0.00142,-0.00159,6588906.00,0.01041,1
2018,282.30,0.01041,-0.00405,-0.01242,0.00765,0.00142,4214376.00,-0.01409,0
2018,280.15,-0.01409,0.01041,-0.00405,-0.01242,0.00765,5672203.00,0.02443,1
2018,283.65,0.02443,-0.01409,0.01041,-0.00405,-0.01242,3892106.00,-0.01194,0
2018,284.80,-0.01194,0.02443,-0.01409,0.01041,-0.00405,6479302.00,-0.00018,0
2018,281.85,-0.00018,-0.01194,0.02443,-0.01409,0.01041,7777542.00,0.01283,1
